x,y,u
0.00195695,0.00195695,-8.92636e-07
0.00391389,0.00195695,-1.78174e-06
0.00587084,0.00195695,-2.66727e-06
0.00782779,0.00195695,-3.5492e-06
0.00978474,0.00195695,-4.4275e-06
0.0117417,0.00195695,-5.30214e-06
0.0136986,0.00195695,-6.17308e-06
0.0156556,0.00195695,-7.0403e-06
0.0176125,0.00195695,-7.90377e-06
0.0195695,0.00195695,-8.76345e-06
0.0215264,0.00195695,-9.61932e-06
0.0234834,0.00195695,-1.04714e-05
0.0254403,0.00195695,-1.13195e-05
0.0273973,0.00195695,-1.21638e-05
0.0293542,0.00195695,-1.30041e-05
0.0313112,0.00195695,-1.38405e-05
0.0332681,0.00195695,-1.46729e-05
0.035225,0.00195695,-1.55014e-05
0.037182,0.00195695,-1.63257e-05
0.0391389,0.00195695,-1.71461e-05
0.0410959,0.00195695,-1.79624e-05
0.0430528,0.00195695,-1.87745e-05
0.0450098,0.00195695,-1.95826e-05
0.0469667,0.00195695,-2.03865e-05
0.0489237,0.00195695,-2.11862e-05
0.0508806,0.00195695,-2.19818e-05
0.0528376,0.00195695,-2.27731e-05
0.0547945,0.00195695,-2.35603e-05
0.0567515,0.00195695,-2.43431e-05
0.0587084,0.00195695,-2.51218e-05
0.0606654,0.00195695,-2.58961e-05
0.0626223,0.00195695,-2.66661e-05
0.0645793,0.00195695,-2.74318e-05
0.0665362,0.00195695,-2.81931e-05
0.0684932,0.00195695,-2.89501e-05
0.0704501,0.00195695,-2.97028e-05
0.072407,0.00195695,-3.0451e-05
0.074364,0.00195695,-3.11948e-05
0.0763209,0.00195695,-3.19342e-05
0.0782779,0.00195695,-3.26692e-05
0.0802348,0.00195695,-3.33997e-05
0.0821918,0.00195695,-3.41258e-05
0.0841487,0.00195695,-3.48474e-05
0.0861057,0.00195695,-3.55645e-05
0.0880626,0.00195695,-3.6277e-05
0.0900196,0.00195695,-3.69851e-05
0.0919765,0.00195695,-3.76887e-05
0.0939335,0.00195695,-3.83877e-05
0.0958904,0.00195695,-3.90822e-05
0.0978474,0.00195695,-3.97721e-05
0.0998043,0.00195695,-4.04574e-05
0.101761,0.00195695,-4.11382e-05
0.103718,0.00195695,-4.18144e-05
0.105675,0.00195695,-4.2486e-05
0.107632,0.00195695,-4.3153e-05
0.109589,0.00195695,-4.38153e-05
0.111546,0.00195695,-4.44731e-05
0.113503,0.00195695,-4.51263e-05
0.11546,0.00195695,-4.57748e-05
0.117417,0.00195695,-4.64187e-05
0.119374,0.00195695,-4.7058e-05
0.121331,0.00195695,-4.76926e-05
0.123288,0.00195695,-4.83225e-05
0.125245,0.00195695,-4.89479e-05
0.127202,0.00195695,-4.95685e-05
0.129159,0.00195695,-5.01846e-05
0.131115,0.00195695,-5.07959e-05
0.133072,0.00195695,-5.14026e-05
0.135029,0.00195695,-5.20047e-05
0.136986,0.00195695,-5.2602e-05
0.138943,0.00195695,-5.31947e-05
0.1409,0.00195695,-5.37828e-05
0.142857,0.00195695,-5.43662e-05
0.144814,0.00195695,-5.49449e-05
0.146771,0.00195695,-5.5519e-05
0.148728,0.00195695,-5.60884e-05
0.150685,0.00195695,-5.66531e-05
0.152642,0.00195695,-5.72132e-05
0.154599,0.00195695,-5.77686e-05
0.156556,0.00195695,-5.83194e-05
0.158513,0.00195695,-5.88655e-05
0.16047,0.00195695,-5.9407e-05
0.162427,0.00195695,-5.99438e-05
0.164384,0.00195695,-6.0476e-05
0.166341,0.00195695,-6.10036e-05
0.168297,0.00195695,-6.15265e-05
0.170254,0.00195695,-6.20448e-05
0.172211,0.00195695,-6.25585e-05
0.174168,0.00195695,-6.30676e-05
0.176125,0.00195695,-6.35721e-05
0.178082,0.00195695,-6.4072e-05
0.180039,0.00195695,-6.45673e-05
0.181996,0.00195695,-6.5058e-05
0.183953,0.00195695,-6.55441e-05
0.18591,0.00195695,-6.60257e-05
0.187867,0.00195695,-6.65027e-05
0.189824,0.00195695,-6.69751e-05
0.191781,0.00195695,-6.74431e-05
0.193738,0.00195695,-6.79064e-05
0.195695,0.00195695,-6.83653e-05
0.197652,0.00195695,-6.88196e-05
0.199609,0.00195695,-6.92695e-05
0.201566,0.00195695,-6.97148e-05
0.203523,0.00195695,-7.01557e-05
0.205479,0.00195695,-7.05921e-05
0.207436,0.00195695,-7.1024e-05
0.209393,0.00195695,-7.14515e-05
0.21135,0.00195695,-7.18746e-05
0.213307,0.00195695,-7.22932e-05
0.215264,0.00195695,-7.27074e-05
0.217221,0.00195695,-7.31172e-05
0.219178,0.00195695,-7.35227e-05
0.221135,0.00195695,-7.39237e-05
0.223092,0.00195695,-7.43204e-05
0.225049,0.00195695,-7.47128e-05
0.227006,0.00195695,-7.51008e-05
0.228963,0.00195695,-7.54845e-05
0.23092,0.00195695,-7.58639e-05
0.232877,0.00195695,-7.62391e-05
0.234834,0.00195695,-7.66099e-05
0.236791,0.00195695,-7.69765e-05
0.238748,0.00195695,-7.73388e-05
0.240705,0.00195695,-7.76969e-05
0.242661,0.00195695,-7.80508e-05
0.244618,0.00195695,-7.84005e-05
0.246575,0.00195695,-7.87461e-05
0.248532,0.00195695,-7.90874e-05
0.250489,0.00195695,-7.94246e-05
0.252446,0.00195695,-7.97577e-05
0.254403,0.00195695,-8.00867e-05
0.25636,0.00195695,-8.04115e-05
0.258317,0.00195695,-8.07323e-05
0.260274,0.00195695,-8.1049e-05
0.262231,0.00195695,-8.13617e-05
0.264188,0.00195695,-8.16703e-05
0.266145,0.00195695,-8.1975e-05
0.268102,0.00195695,-8.22756e-05
0.270059,0.00195695,-8.25723e-05
0.272016,0.00195695,-8.2865e-05
0.273973,0.00195695,-8.31537e-05
0.27593,0.00195695,-8.34386e-05
0.277886,0.00195695,-8.37195e-05
